state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",14-11-2025 21:00,19.863756,75.321188,PM10,55,408,109
Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",14-11-2025 21:00,19.16485,73.23409,PM2.5,59,250,106
Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",14-11-2025 21:00,19.16485,73.23409,CO,22,73,42
Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",14-11-2025 21:00,19.0243902,73.0406721,PM2.5,85,241,153
Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",14-11-2025 21:00,19.0243902,73.0406721,NH3,NA,NA,NA
Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",14-11-2025 21:00,19.0243902,73.0406721,OZONE,1,71,55
Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",14-11-2025 21:00,19.309073,73.057223,CO,23,54,31
Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",14-11-2025 21:00,19.296481,72.840923,SO2,1,5,2
Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",14-11-2025 21:00,19.053536,72.84643,PM2.5,257,350,311
Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",14-11-2025 21:00,19.065931,72.862131,NO2,14,96,61
Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",14-11-2025 21:00,19.065931,72.862131,NH3,1,25,7
Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",14-11-2025 21:00,19.065931,72.862131,CO,2,57,30
Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",14-11-2025 21:00,19.23241,72.86895,PM10,115,172,150
Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",14-11-2025 21:00,19.23241,72.86895,NO2,32,101,55
Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",14-11-2025 21:00,19.10122,74.73339,CO,60,110,85
Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",14-11-2025 21:00,20.719516,77.000253,NO2,10,108,42
Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",14-11-2025 21:00,20.9402359,77.7895248,PM10,85,192,120
Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",14-11-2025 21:00,20.939198,77.765701,PM2.5,60,157,105
Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",14-11-2025 21:00,19.87562,75.38731,CO,5,64,48
Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",14-11-2025 21:00,22.624758,75.675238,SO2,NA,NA,NA
